source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,grounding_title,Grounding tools,SENSITIVE,A hard moment,Un momento difícil,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_subtitle,Grounding tools,SENSITIVE,Here are a few quiet things that can help. There's no wrong choice.,Aquí tienes algunas cosas tranquilas que pueden ayudar. No hay elección equivocada.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_breathe,Grounding tools,SENSITIVE,Breathe,Respirar,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_54321,Grounding tools,SENSITIVE,Ground (5-4-3-2-1),Anclaje (5-4-3-2-1),PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Digits 5-4-3-2-1 are the technique name — keep as digits; cross-check against the per-language forbidden-token lexicon once advisors supply it"
shared-ui,grounding_ride_urge,Grounding tools,SENSITIVE,Ride the urge,Dejar pasar el impulso,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Ride the urge' is the urge-surfing technique — draft uses a 'let it pass' wave metaphor rather than literal 'riding'; reviewer confirm it reads as the technique and matches ride_urge_body"
shared-ui,grounding_talk,Grounding tools,SENSITIVE,Write it down,Escribirlo,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_reach_someone,Grounding tools,SENSITIVE,Reach someone,Contactar con alguien,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_close,Grounding tools,SENSITIVE,Close,Cerrar,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_gentle_close,Grounding tools,SENSITIVE,Glad you took a moment.,Qué bien que te hayas dado un momento.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_done,Grounding tools,SENSITIVE,I'm okay for now,Por ahora estoy bien,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,breathe_title,Grounding tools,SENSITIVE,Let's breathe together,Respiremos juntos,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,breathe_in,Grounding tools,SENSITIVE,Breathe in,Inhala,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync"
shared-ui,breathe_hold,Grounding tools,SENSITIVE,Hold,Mantén,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — must be one short word matching the breathing animation timing"
shared-ui,breathe_out,Grounding tools,SENSITIVE,Breathe out,Exhala,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync"
shared-ui,breathe_reduced_note,Grounding tools,SENSITIVE,Follow the words at your own pace.,Sigue las palabras a tu propio ritmo.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_title,Grounding tools,SENSITIVE,Notice where you are,Nota dónde estás,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_intro,Grounding tools,SENSITIVE,"Slowly, gently, take each one in. There's no rush.","Despacio, con suavidad, ve tomando cada una. No hay prisa.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_see,Grounding tools,SENSITIVE,Five things you can see,Cinco cosas que puedes ver,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_hear,Grounding tools,SENSITIVE,Four things you can hear,Cuatro cosas que puedes oír,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_touch,Grounding tools,SENSITIVE,Three things you can touch,Tres cosas que puedes tocar,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
