source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,nav_home,Navigation,STANDARD,Home,首页,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,反思,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_calm,Navigation,STANDARD,Calm,平静,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_settings,Navigation,STANDARD,Settings,设置,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,一个安静的角落。,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.",无论今天如何，你都可以在这里停留片刻。,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,我此刻很难受,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,联系一个人,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,back,Common,STANDARD,Back,返回,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,联系真实的人,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_intro,Crisis / safety screen,SENSITIVE,You deserve real support. These are calm ways to reach a person.,你值得获得真正的支持。这里有一些平静的方式，可以联系到真实的人。,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_label,Crisis / safety screen,SENSITIVE,Show help for,显示以下地区的帮助,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_pk,Crisis / safety screen,SENSITIVE,Pakistan,巴基斯坦,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_de,Crisis / safety screen,SENSITIVE,Germany,德国,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_uk,Crisis / safety screen,SENSITIVE,United Kingdom,英国,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_intl,Crisis / safety screen,SENSITIVE,International,国际,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_trusted_person,Crisis / safety screen,SENSITIVE,Reach your trusted person,联系你信任的人,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_acute,Crisis / safety screen,SENSITIVE,If you need someone right now,如果你现在就需要有人陪伴,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_support,Crisis / safety screen,SENSITIVE,Eating-disorder support,进食障碍支持,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_finder,Crisis / safety screen,SENSITIVE,Find ongoing treatment,寻找持续治疗,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_fallback_note,Crisis / safety screen,SENSITIVE,We don't have verified local services for this region yet. These trusted options can help you find support near you.,我们尚未收录该地区经过核实的本地服务。以下可信资源可以帮助你找到身边的支持。,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_unverified,Crisis / safety screen,SENSITIVE,Details are being verified,详细信息正在核实中,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
