source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,你的空间,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,一个只属于你想法的私密地方。只有你能看到。,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.",这里还什么都没有，这完全没关系。这个空间随时为你敞开。,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,写点什么,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,记一下现在的感受,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,记一个与吃有关的时刻,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,反思,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,感受,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,与吃有关,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,保存,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,取消,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_delete,Reflection & logging,STANDARD,Delete,删除,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_text_hint,Reflection & logging,STANDARD,Whatever's on your mind…,想到什么都可以……,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_note_hint,Reflection & logging,STANDARD,"A few words, if you'd like…",几句话就好，如果你愿意……,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_feelings_label,Reflection & logging,STANDARD,"If it helps, what are you feeling?",如果有帮助的话，你现在感觉如何？,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_calm,Feeling tags,STANDARD,Calm,平静,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_content,Feeling tags,STANDARD,Content,满足,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_relieved,Feeling tags,STANDARD,Relieved,松了口气,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_hopeful,Feeling tags,STANDARD,Hopeful,有希望,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_tired,Feeling tags,STANDARD,Tired,疲惫,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_numb,Feeling tags,STANDARD,Numb,麻木,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_anxious,Feeling tags,STANDARD,Anxious,焦虑,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_overwhelmed,Feeling tags,STANDARD,Overwhelmed,不堪重负,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_sad,Feeling tags,STANDARD,Sad,难过,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_frustrated,Feeling tags,STANDARD,Frustrated,烦躁,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,feeling_guilty,Feeling tags,STANDARD,Guilty,内疚,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — ED-adjacent tag — keep as plain emotion word, no moralising"
shared-ui,feeling_alone,Feeling tags,STANDARD,Alone,孤单,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,companion_species_aspen,Companion messages,SENSITIVE,Aspen sprite,Aspen 精灵,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — 'Aspen' brand word untranslated; 'sprite' rendered per language — reviewer confirm it reads playful, not ghostly — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first)"
shared-ui,companion_species_cat,Companion messages,SENSITIVE,Cat,猫,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first)"
shared-ui,companion_species_bunny,Companion messages,SENSITIVE,Bunny,兔子,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first)"
shared-ui,companion_a11y_label,Companion messages,SENSITIVE,Your companion. Tap to play together.,你的伙伴。点一下一起玩。,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first)"
