source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,onb_intro_title,Onboarding questionnaire,SENSITIVE,A few gentle questions,几个温和的问题,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_intro_body,Onboarding questionnaire,SENSITIVE,"So Aspen can fit you a little better. There are no right answers, nothing here is a test or a diagnosis, and you can skip anything. Take your time.",这样 Aspen 能更贴合你一些。这里没有对错答案，这不是测试，也不是诊断，任何问题都可以跳过。慢慢来。,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_begin,Onboarding questionnaire,SENSITIVE,Begin,开始,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_all,Onboarding questionnaire,SENSITIVE,Skip these for now,暂时跳过这些,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_question,Onboarding questionnaire,SENSITIVE,Skip this one,跳过这一题,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_next,Onboarding questionnaire,SENSITIVE,Continue,继续,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_back,Onboarding questionnaire,SENSITIVE,Back,返回,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_prefer_not,Onboarding questionnaire,SENSITIVE,I'd rather not say,我不想说,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_title,Onboarding questionnaire,SENSITIVE,What would feel most helpful from Aspen right now?,现在，Aspen 能为你做的哪件事最有帮助？,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_calmer,Onboarding questionnaire,SENSITIVE,A calmer moment in hard times,在难熬的时刻多一份平静,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_private,Onboarding questionnaire,SENSITIVE,Somewhere private to put my thoughts,一个存放心事的私密角落,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_company,Onboarding questionnaire,SENSITIVE,Company that doesn't ask much of me,一种不对我提要求的陪伴,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_reach_help,Onboarding questionnaire,SENSITIVE,A way to reach real help,一条通向真实帮助的路,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_not_sure,Onboarding questionnaire,SENSITIVE,I'm not sure yet,我还不确定,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q2_title,Onboarding questionnaire,SENSITIVE,How would you describe your relationship with eating lately?,最近，你和吃饭的关系怎么样？,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q2_tense_rules,Onboarding questionnaire,SENSITIVE,"Tense, or full of rules",紧绷，或被规则束缚,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q2_out_of_control,Onboarding questionnaire,SENSITIVE,Out of my control at times,有时不受我控制,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q2_undo_after,Onboarding questionnaire,SENSITIVE,Something I try to undo afterwards,一种事后想要抵消的事,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Same euphemism constraint as q5 — keep behaviours implicit"
