source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,onb_intro_title,Onboarding questionnaire,SENSITIVE,A few gentle questions,چند نرم سے سوال,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_intro_body,Onboarding questionnaire,SENSITIVE,"So Aspen can fit you a little better. There are no right answers, nothing here is a test or a diagnosis, and you can skip anything. Take your time.",تاکہ Aspen آپ کے لیے تھوڑا بہتر ڈھل سکے۔ یہاں کوئی صحیح یا غلط جواب نہیں، نہ یہ کوئی امتحان ہے نہ تشخیص، اور آپ کوئی بھی سوال چھوڑ سکتے ہیں۔ اپنا وقت لیجیے۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Urdu first-person verbs are gendered; draft uses neutral rephrasings where possible — reviewer set house style"
shared-ui,onb_begin,Onboarding questionnaire,SENSITIVE,Begin,شروع کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_all,Onboarding questionnaire,SENSITIVE,Skip these for now,ابھی کے لیے چھوڑ دیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_question,Onboarding questionnaire,SENSITIVE,Skip this one,یہ والا چھوڑ دیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_next,Onboarding questionnaire,SENSITIVE,Continue,جاری رکھیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_back,Onboarding questionnaire,SENSITIVE,Back,واپس,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_prefer_not,Onboarding questionnaire,SENSITIVE,I'd rather not say,مجھے یہ نہیں بتانا,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Urdu first-person verbs are gendered; draft uses neutral rephrasings where possible — reviewer set house style"
shared-ui,onb_q1_title,Onboarding questionnaire,SENSITIVE,What would feel most helpful from Aspen right now?,ابھی Aspen سے آپ کو کیا سب سے زیادہ مددگار لگے گا؟,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_calmer,Onboarding questionnaire,SENSITIVE,A calmer moment in hard times,مشکل وقتوں میں ایک پرسکون لمحہ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_private,Onboarding questionnaire,SENSITIVE,Somewhere private to put my thoughts,اپنے خیالات رکھنے کی ایک نجی جگہ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_company,Onboarding questionnaire,SENSITIVE,Company that doesn't ask much of me,ایسا ساتھ جو مجھ سے زیادہ کچھ نہ مانگے,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_reach_help,Onboarding questionnaire,SENSITIVE,A way to reach real help,حقیقی مدد تک پہنچنے کا راستہ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
