source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,nav_home,Navigation,STANDARD,Home,Start,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,Reflexion,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_calm,Navigation,STANDARD,Calm,Ruhe,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_settings,Navigation,STANDARD,Settings,Einstellungen,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,Ein ruhiger Ort zum Sein.,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.",Was auch immer der Tag bringt – du kannst hier einen Moment verweilen.,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,Ich habe gerade einen schweren Moment,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,Einen Menschen erreichen,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,back,Common,STANDARD,Back,Zurück,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,Einen Menschen erreichen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_intro,Crisis / safety screen,SENSITIVE,You deserve real support. These are calm ways to reach a person.,"Du verdienst echte Unterstützung. Das sind ruhige Wege, einen Menschen zu erreichen.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_label,Crisis / safety screen,SENSITIVE,Show help for,Hilfe anzeigen für,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_pk,Crisis / safety screen,SENSITIVE,Pakistan,Pakistan,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_de,Crisis / safety screen,SENSITIVE,Germany,Deutschland,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_uk,Crisis / safety screen,SENSITIVE,United Kingdom,Vereinigtes Königreich,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_intl,Crisis / safety screen,SENSITIVE,International,International,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_trusted_person,Crisis / safety screen,SENSITIVE,Reach your trusted person,Deine Vertrauensperson erreichen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_acute,Crisis / safety screen,SENSITIVE,If you need someone right now,Wenn du jetzt gerade jemanden brauchst,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_support,Crisis / safety screen,SENSITIVE,Eating-disorder support,Unterstützung bei Essstörungen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_finder,Crisis / safety screen,SENSITIVE,Find ongoing treatment,Laufende Behandlung finden,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_fallback_note,Crisis / safety screen,SENSITIVE,We don't have verified local services for this region yet. These trusted options can help you find support near you.,"Für diese Region haben wir noch keine geprüften lokalen Angebote. Diese vertrauenswürdigen Anlaufstellen können dir helfen, Unterstützung in deiner Nähe zu finden.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_unverified,Crisis / safety screen,SENSITIVE,Details are being verified,Angaben werden noch geprüft,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
