source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,app_name,Brand,DO_NOT_TRANSLATE,Aspen,,SKIP,,,
shared-ui,nav_home,Navigation,STANDARD,Home,الرئيسية,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,تأمّل,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_calm,Navigation,STANDARD,Calm,هدوء,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_settings,Navigation,STANDARD,Settings,الإعدادات,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,مكان هادئ لتكون فيه.,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.",مهما كان يومك، يمكنك البقاء هنا للحظة.,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,أمرّ بلحظة صعبة,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,تواصَل مع شخص,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,الوصول إلى شخص,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_body,Crisis / safety screen,SENSITIVE,"A calm route to real human support, a trusted contact or a region-correct line, will live here.",,PENDING,,,
shared-ui,back,Common,STANDARD,Back,رجوع,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
