source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,مساحتك,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,مكان خاص لأفكارك. أنت وحدك من يرى هذا.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.",لا شيء هنا بعد، وهذا طبيعي تمامًا. هذه المساحة موجودة متى أردتها.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,اكتب شيئًا,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,دوِّن شعورك,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,دوِّن لحظة تتعلق بالأكل,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,تأملات,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,مشاعر,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,حول الأكل,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,حفظ,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,إلغاء,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (هدوء، تعب…) to stay gender-neutral; user-address masculine-default per convention"
