source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,nav_home,Navigation,STANDARD,Home,ہوم,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,غور و فکر,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_calm,Navigation,STANDARD,Calm,سکون,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_settings,Navigation,STANDARD,Settings,ترتیبات,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,ایک پرسکون جگہ، بس اپنے لیے۔,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.",آج جیسا بھی ہو، آپ یہاں ایک لمحے کے لیے ٹھہر سکتے ہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,یہ لمحہ میرے لیے مشکل ہے,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,کسی سے رابطہ کریں,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,back,Common,STANDARD,Back,واپس,PENDING,,,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,کسی انسان تک پہنچنا,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_intro,Crisis / safety screen,SENSITIVE,You deserve real support. These are calm ways to reach a person.,آپ حقیقی سہارے کے مستحق ہیں۔ کسی سے رابطے کے یہ پرسکون راستے ہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_label,Crisis / safety screen,SENSITIVE,Show help for,مدد دکھائیں برائے,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_pk,Crisis / safety screen,SENSITIVE,Pakistan,پاکستان,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_de,Crisis / safety screen,SENSITIVE,Germany,جرمنی,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_uk,Crisis / safety screen,SENSITIVE,United Kingdom,برطانیہ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_intl,Crisis / safety screen,SENSITIVE,International,بین الاقوامی,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_trusted_person,Crisis / safety screen,SENSITIVE,Reach your trusted person,اپنے قابلِ اعتماد شخص سے رابطہ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_acute,Crisis / safety screen,SENSITIVE,If you need someone right now,اگر آپ کو ابھی کسی کی ضرورت ہے,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_support,Crisis / safety screen,SENSITIVE,Eating-disorder support,کھانے سے متعلق عارضے میں معاونت,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_heading_finder,Crisis / safety screen,SENSITIVE,Find ongoing treatment,مستقل علاج تلاش کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_fallback_note,Crisis / safety screen,SENSITIVE,We don't have verified local services for this region yet. These trusted options can help you find support near you.,اس خطے کے لیے ہمارے پاس ابھی تصدیق شدہ مقامی خدمات نہیں ہیں۔ یہ قابلِ اعتماد ذرائع آپ کے قریب مدد ڈھونڈنے میں معاون ہو سکتے ہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_unverified,Crisis / safety screen,SENSITIVE,Details are being verified,تفصیلات کی تصدیق جاری ہے,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
