source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,Tu espacio,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,Un lugar privado para tus pensamientos. Solo tú puedes ver esto.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.","Aún no hay nada aquí, y eso está perfectamente bien. Este espacio está aquí siempre que lo quieras.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,Escribir algo,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,Anotar cómo te sientes,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,Anotar un momento en torno a la comida,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,Reflexiones,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,Sentimientos,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,En torno a la comida,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,Guardar,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,Cancelar,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_delete,Reflection & logging,STANDARD,Delete,Eliminar,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_text_hint,Reflection & logging,STANDARD,Whatever's on your mind…,Lo que tengas en mente…,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_note_hint,Reflection & logging,STANDARD,"A few words, if you'd like…","Unas palabras, si quieres…",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,reflect_feelings_label,Reflection & logging,STANDARD,"If it helps, what are you feeling?","Si te ayuda, ¿qué estás sintiendo?",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_calm,Feeling tags,STANDARD,Calm,Calma,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_content,Feeling tags,STANDARD,Content,Satisfacción,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_relieved,Feeling tags,STANDARD,Relieved,Alivio,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_hopeful,Feeling tags,STANDARD,Hopeful,Esperanza,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_tired,Feeling tags,STANDARD,Tired,Cansancio,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_numb,Feeling tags,STANDARD,Numb,Vacío,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_anxious,Feeling tags,STANDARD,Anxious,Ansiedad,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_overwhelmed,Feeling tags,STANDARD,Overwhelmed,Agobio,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_sad,Feeling tags,STANDARD,Sad,Tristeza,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_frustrated,Feeling tags,STANDARD,Frustrated,Frustración,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_guilty,Feeling tags,STANDARD,Guilty,Culpa,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — ED-adjacent tag — keep as plain emotion word, no moralising — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,feeling_alone,Feeling tags,STANDARD,Alone,Soledad,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,companion_species_aspen,Companion messages,SENSITIVE,Aspen sprite,Duende de Aspen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — 'Aspen' brand word untranslated; 'sprite' rendered per language — reviewer confirm it reads playful, not ghostly — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,companion_species_cat,Companion messages,SENSITIVE,Cat,Gato,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
shared-ui,companion_species_bunny,Companion messages,SENSITIVE,Bunny,Conejito,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (Calma, Cansancio…) to stay gender-neutral; 'Vacío' for Numb — reviewer may prefer 'Entumecimiento'"
