source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,آپ کی اپنی جگہ,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,آپ کے خیالات کے لیے ایک نجی جگہ۔ اسے صرف آپ دیکھ سکتے ہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.",ابھی یہاں کچھ نہیں، اور یہ بالکل ٹھیک ہے۔ یہ جگہ ہمیشہ آپ کے لیے موجود ہے۔,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,کچھ لکھ لیں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,اپنے احساس کو نوٹ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,کھانے سے جڑا کوئی لمحہ نوٹ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,تحریریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,احساسات,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,کھانے کے آس پاس,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,محفوظ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,منسوخ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_delete,Reflection & logging,STANDARD,Delete,حذف کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_text_hint,Reflection & logging,STANDARD,Whatever's on your mind…,جو بھی دل میں ہو…,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_note_hint,Reflection & logging,STANDARD,"A few words, if you'd like…",چند الفاظ، اگر چاہیں…,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_feelings_label,Reflection & logging,STANDARD,"If it helps, what are you feeling?",اگر مدد ملے تو بتائیں، آپ کیا محسوس کر رہے ہیں؟,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_calm,Feeling tags,STANDARD,Calm,سکون,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_content,Feeling tags,STANDARD,Content,اطمینان,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_relieved,Feeling tags,STANDARD,Relieved,راحت,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_hopeful,Feeling tags,STANDARD,Hopeful,امید,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_tired,Feeling tags,STANDARD,Tired,تھکن,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_numb,Feeling tags,STANDARD,Numb,سُن پن,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_anxious,Feeling tags,STANDARD,Anxious,بےچینی,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_overwhelmed,Feeling tags,STANDARD,Overwhelmed,بوجھل پن,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_sad,Feeling tags,STANDARD,Sad,اداسی,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_frustrated,Feeling tags,STANDARD,Frustrated,جھنجھلاہٹ,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_guilty,Feeling tags,STANDARD,Guilty,احساسِ جرم,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — ED-adjacent tag — keep as plain emotion word, no moralising — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,feeling_alone,Feeling tags,STANDARD,Alone,تنہائی,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,companion_species_aspen,Companion messages,SENSITIVE,Aspen sprite,Aspen اسپرائٹ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — 'Aspen' brand word untranslated; 'sprite' rendered per language — reviewer confirm it reads playful, not ghostly — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,companion_species_cat,Companion messages,SENSITIVE,Cat,بلی,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,companion_species_bunny,Companion messages,SENSITIVE,Bunny,خرگوش,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,companion_a11y_label,Companion messages,SENSITIVE,Your companion. Tap to play together.,آپ کا ساتھی۔ ساتھ کھیلنے کے لیے ٹیپ کریں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,companion_rest_action,Companion messages,SENSITIVE,Rest now,اب آرام کرو,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE per pipeline: needs ED-informed native review — PIPELINE NOTE: this key matches prefix 'companion_' before 'companion_species_' in CLASSIFY, so the generator treats it as SENSITIVE/Companion messages even though the intent was STANDARD — either accept SENSITIVE or reorder CLASSIFY (most-specific first) — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,settings_companion_title,Companion presence settings,STANDARD,A small companion,ایک ننھا ساتھی,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,settings_companion_subtitle_off,Companion presence settings,STANDARD,"Off. A tiny pixel friend can sit quietly in the corner, only if you want.",بند ہے۔ ایک ننھا پکسل دوست کونے میں خاموشی سے بیٹھ سکتا ہے، صرف اگر آپ چاہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,settings_companion_subtitle_on,Companion presence settings,STANDARD,Keeping you company. Tap to let it rest.,آپ کا ساتھ دے رہا ہے۔ آرام کروانے کے لیے ٹیپ کریں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,settings_companion_species_label,Companion presence settings,STANDARD,Who keeps you company,کون آپ کا ساتھ دے,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (سکون، تھکن…) to stay gender-neutral — flag if house style prefers adjectives"
