source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,grounding_title,Grounding tools,SENSITIVE,A hard moment,Un moment difficile,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_subtitle,Grounding tools,SENSITIVE,Here are a few quiet things that can help. There's no wrong choice.,Voici quelques petites choses tranquilles qui peuvent aider. Il n'y a pas de mauvais choix.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_breathe,Grounding tools,SENSITIVE,Breathe,Respirer,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_54321,Grounding tools,SENSITIVE,Ground (5-4-3-2-1),Ancrage (5-4-3-2-1),PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Digits 5-4-3-2-1 are the technique name — keep as digits; cross-check against the per-language forbidden-token lexicon once advisors supply it — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_ride_urge,Grounding tools,SENSITIVE,Ride the urge,Laisser passer l'envie,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Ride the urge' is the urge-surfing technique — draft uses a 'let it pass' wave metaphor rather than literal 'riding'; reviewer confirm it reads as the technique and matches ride_urge_body — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_talk,Grounding tools,SENSITIVE,Write it down,L'écrire,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_reach_someone,Grounding tools,SENSITIVE,Reach someone,Joindre quelqu'un,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_close,Grounding tools,SENSITIVE,Close,Fermer,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_gentle_close,Grounding tools,SENSITIVE,Glad you took a moment.,C'est bien que tu aies pris un moment.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'gentle_close' and 'ride_urge_body' rephrased to avoid gendered 'content·e'/'obligé·e' — reviewer confirm register — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,grounding_done,Grounding tools,SENSITIVE,I'm okay for now,Ça va pour le moment,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'gentle_close' and 'ride_urge_body' rephrased to avoid gendered 'content·e'/'obligé·e' — reviewer confirm register — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,breathe_title,Grounding tools,SENSITIVE,Let's breathe together,Respirons ensemble,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,breathe_in,Grounding tools,SENSITIVE,Breathe in,Inspire,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,breathe_hold,Grounding tools,SENSITIVE,Hold,Retiens,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — must be one short word matching the breathing animation timing — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,breathe_out,Grounding tools,SENSITIVE,Breathe out,Expire,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,breathe_reduced_note,Grounding tools,SENSITIVE,Follow the words at your own pace.,Suis les mots à ton propre rythme.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_title,Grounding tools,SENSITIVE,Notice where you are,Remarque où tu es,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_intro,Grounding tools,SENSITIVE,"Slowly, gently, take each one in. There's no rush.","Lentement, doucement, prends chaque chose l'une après l'autre. Rien ne presse.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'gentle_close' and 'ride_urge_body' rephrased to avoid gendered 'content·e'/'obligé·e' — reviewer confirm register — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_see,Grounding tools,SENSITIVE,Five things you can see,Cinq choses que tu peux voir,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_hear,Grounding tools,SENSITIVE,Four things you can hear,Quatre choses que tu peux entendre,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_touch,Grounding tools,SENSITIVE,Three things you can touch,Trois choses que tu peux toucher,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_smell,Grounding tools,SENSITIVE,Two things you can smell,Deux choses que tu peux sentir,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr 'sentir' is standard in French 5-4-3-2-1 scripts but also means 'feel' — reviewer confirm — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_taste,Grounding tools,SENSITIVE,One thing you can taste,Une chose que tu peux goûter,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ground_54321_next,Grounding tools,SENSITIVE,Next,Suivant,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ride_urge_title,Grounding tools,SENSITIVE,Ride the urge,Laisser passer l'envie,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Must stay identical to grounding_ride_urge (same feature, menu label vs screen title) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,ride_urge_body,Grounding tools,SENSITIVE,"Urges rise, crest, and pass, like a wave. You don't have to act on it. Stay here a moment and let it move through.","Les envies montent, atteignent leur sommet, puis passent, comme une vague. Tu n'as pas à agir dessus. Reste ici un instant et laisse-la passer.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Wave metaphor must stay non-instructive and non-shaming; 'act on it' kept behaviour-neutral — 'gentle_close' and 'ride_urge_body' rephrased to avoid gendered 'content·e'/'obligé·e' — reviewer confirm register — fr is NOT yet in TARGET_LANGS; config change required"
