source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,companion_greeting_here,Companion messages,SENSITIVE,Hi. Just here with you.,"Salut. Je suis juste là, avec toi.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_greeting_company,Companion messages,SENSITIVE,Want some company for a bit?,Envie d'un peu de compagnie ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_greeting_soft,Companion messages,SENSITIVE,It's good that you're here.,C'est bien que tu sois là.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_hard_sit_together,Companion messages,SENSITIVE,Want to sit together for a minute?,On s'assoit ensemble une minute ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_hard_no_fixing,Companion messages,SENSITIVE,I'm not going anywhere. We can just be here.,Je ne vais nulle part. On peut juste être là.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_hard_reach_someone,Companion messages,SENSITIVE,"Rough moment? I can get you to your calm tools, or to someone.","Moment difficile ? Je peux t'amener à tes outils de calme, ou vers quelqu'un.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_hard_passing,Companion messages,SENSITIVE,This feeling is like weather. It moves. I'll stay while it does.,"Ce sentiment, c'est comme la météo. Ça bouge. Je reste pendant que ça passe.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Weather metaphor for transience — keep non-instructive; do not turn into advice — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_ground_breathe,Companion messages,SENSITIVE,Want to breathe with me for a minute?,On respire ensemble une minute ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_ground_senses,Companion messages,SENSITIVE,"Let's notice the room together, slowly.","Remarquons la pièce ensemble, doucement.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_ground_write,Companion messages,SENSITIVE,Want to put it into words? I'll hold onto them.,Envie de le mettre en mots ? Je les garderai.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_ambient_here_if_needed,Companion messages,SENSITIVE,Just here if you want company.,"Juste là, si tu veux de la compagnie.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_ambient_no_followup,Companion messages,SENSITIVE,I'll be nearby.,Je reste tout près.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_notify_gentle_checkin,Companion messages,SENSITIVE,Just a hello. Nothing needed.,Juste un bonjour. Rien à faire.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,companion_notify_tools_nearby,Companion messages,SENSITIVE,Your quiet tools are right here if today needs them.,"Tes outils tranquilles sont juste là, si la journée en a besoin.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_companion_title,AI reflection companion,SENSITIVE,Reflect together,Réfléchir ensemble,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Reflection' term matched to nav_reflect from batch 1 per language — keep consistent — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_companion_hint,AI reflection companion,SENSITIVE,"If you want, tell me how it felt…","Si tu veux, dis-moi comment c'était…",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_companion_send,AI reflection companion,SENSITIVE,Share,Partager,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_companion_thinking,AI reflection companion,SENSITIVE,…,…,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Kept as ellipsis in every language (fullwidth …… in zh) — fr is NOT yet in TARGET_LANGS; config change required"
