source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,onb_intro_title,Onboarding questionnaire,SENSITIVE,A few gentle questions,कुछ कोमल सवाल,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_intro_body,Onboarding questionnaire,SENSITIVE,"So Aspen can fit you a little better. There are no right answers, nothing here is a test or a diagnosis, and you can skip anything. Take your time.","ताकि Aspen आपके लिए थोड़ा बेहतर ढल सके। यहाँ कोई सही या ग़लत जवाब नहीं है, न यह कोई परीक्षा है न निदान, और आप कुछ भी छोड़ सकते हैं। अपना समय लीजिए।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Hindi first-person verbs are gendered; draft uses neutral rephrasings where possible — reviewer set house style"
shared-ui,onb_begin,Onboarding questionnaire,SENSITIVE,Begin,शुरू करें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_all,Onboarding questionnaire,SENSITIVE,Skip these for now,अभी के लिए छोड़ें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_skip_question,Onboarding questionnaire,SENSITIVE,Skip this one,इसे छोड़ें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_next,Onboarding questionnaire,SENSITIVE,Continue,जारी रखें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_back,Onboarding questionnaire,SENSITIVE,Back,वापस,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_prefer_not,Onboarding questionnaire,SENSITIVE,I'd rather not say,मुझे यह नहीं बताना,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Hindi first-person verbs are gendered; draft uses neutral rephrasings where possible — reviewer set house style"
shared-ui,onb_q1_title,Onboarding questionnaire,SENSITIVE,What would feel most helpful from Aspen right now?,अभी Aspen से आपको क्या सबसे मददगार लगेगा?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_calmer,Onboarding questionnaire,SENSITIVE,A calmer moment in hard times,कठिन समय में एक शांत पल,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,onb_q1_private,Onboarding questionnaire,SENSITIVE,Somewhere private to put my thoughts,अपने विचार रखने की एक निजी जगह,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
