source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,Dein Raum,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,Ein privater Ort für deine Gedanken. Nur du kannst das hier sehen.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.","Hier ist noch nichts – und das ist völlig in Ordnung. Dieser Raum ist da, wann immer du ihn möchtest.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,Etwas aufschreiben,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,"Festhalten, wie du dich fühlst",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,Einen Moment rund ums Essen festhalten,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,Reflexionen,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,Gefühle,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,Rund ums Essen,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,Speichern,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,Abbrechen,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_delete,Reflection & logging,STANDARD,Delete,Löschen,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
shared-ui,reflect_text_hint,Reflection & logging,STANDARD,Whatever's on your mind…,Was dir gerade durch den Kopf geht …,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass"
