source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,आपकी अपनी जगह,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,आपके विचारों के लिए एक निजी जगह। इसे सिर्फ़ आप देख सकते हैं।,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.","अभी यहाँ कुछ नहीं है, और यह बिल्कुल ठीक है। यह जगह हमेशा आपके लिए मौजूद है।",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,कुछ लिख लें,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,अपना एहसास नोट करें,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,खाने से जुड़ा कोई पल नोट करें,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,चिंतन,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,एहसास,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,खाने के आस-पास,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,सहेजें,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns (सुकून, थकान…) to stay gender-neutral — flag if house style prefers adjectives"
