source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,grounding_title,Grounding tools,SENSITIVE,A hard moment,ایک مشکل لمحہ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_subtitle,Grounding tools,SENSITIVE,Here are a few quiet things that can help. There's no wrong choice.,یہ چند خاموش سی چیزیں ہیں جو مدد دے سکتی ہیں۔ کوئی بھی انتخاب غلط نہیں۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_breathe,Grounding tools,SENSITIVE,Breathe,سانس لیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_54321,Grounding tools,SENSITIVE,Ground (5-4-3-2-1),حواس سے جڑیں (5-4-3-2-1),PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Digits 5-4-3-2-1 are the technique name — keep as digits; cross-check against the per-language forbidden-token lexicon once advisors supply it"
shared-ui,grounding_ride_urge,Grounding tools,SENSITIVE,Ride the urge,لہر کو گزرنے دیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Ride the urge' is the urge-surfing technique — draft uses a 'let it pass' wave metaphor rather than literal 'riding'; reviewer confirm it reads as the technique and matches ride_urge_body"
shared-ui,grounding_talk,Grounding tools,SENSITIVE,Write it down,لکھ ڈالیں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_reach_someone,Grounding tools,SENSITIVE,Reach someone,کسی سے رابطہ کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_close,Grounding tools,SENSITIVE,Close,بند کریں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_gentle_close,Grounding tools,SENSITIVE,Glad you took a moment.,اچھا لگا کہ آپ نے ایک لمحہ نکالا۔,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Polite آپ forms used throughout (gender-neutral in address); first-person lines checked neutral"
shared-ui,grounding_done,Grounding tools,SENSITIVE,I'm okay for now,میں ابھی ٹھیک ہوں,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Polite آپ forms used throughout (gender-neutral in address); first-person lines checked neutral"
