source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,companion_greeting_here,Companion messages,SENSITIVE,Hi. Just here with you.,नमस्ते। बस आपके साथ हूँ।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_greeting_company,Companion messages,SENSITIVE,Want some company for a bit?,थोड़ी देर के लिए कुछ साथ चाहिए?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_greeting_soft,Companion messages,SENSITIVE,It's good that you're here.,अच्छा है कि आप यहाँ हैं।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_hard_sit_together,Companion messages,SENSITIVE,Want to sit together for a minute?,एक मिनट साथ बैठें?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_hard_no_fixing,Companion messages,SENSITIVE,I'm not going anywhere. We can just be here.,मैं यहीं हूँ। हम बस साथ रह सकते हैं।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_hard_reach_someone,Companion messages,SENSITIVE,"Rough moment? I can get you to your calm tools, or to someone.","मुश्किल पल? चाहें तो आपके शांत टूल्स तक, या किसी व्यक्ति तक ले चलूँ।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Companion first-person verbs rephrased to gender-neutral forms (ले चलूँ, साथ हूँ, सुरक्षित रहेंगे) — companion's grammatical gender is an open house-style decision"
shared-ui,companion_hard_passing,Companion messages,SENSITIVE,This feeling is like weather. It moves. I'll stay while it does.,"यह एहसास मौसम जैसा है। यह गुज़र जाता है। जब तक गुज़रे, मैं साथ हूँ।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Weather metaphor for transience — keep non-instructive; do not turn into advice — Companion first-person verbs rephrased to gender-neutral forms (ले चलूँ, साथ हूँ, सुरक्षित रहेंगे) — companion's grammatical gender is an open house-style decision"
shared-ui,companion_ground_breathe,Companion messages,SENSITIVE,Want to breathe with me for a minute?,एक मिनट मेरे साथ साँस लेंगे?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_ground_senses,Companion messages,SENSITIVE,"Let's notice the room together, slowly.","आइए धीरे-धीरे, मिलकर कमरे को महसूस करें।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_ground_write,Companion messages,SENSITIVE,Want to put it into words? I'll hold onto them.,चाहें तो इसे शब्दों में ढाल दें? ये मेरे पास सुरक्षित रहेंगे।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Companion first-person verbs rephrased to gender-neutral forms (ले चलूँ, साथ हूँ, सुरक्षित रहेंगे) — companion's grammatical gender is an open house-style decision"
shared-ui,companion_ambient_here_if_needed,Companion messages,SENSITIVE,Just here if you want company.,"बस यहीं हूँ, अगर साथ चाहिए हो।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_ambient_no_followup,Companion messages,SENSITIVE,I'll be nearby.,मैं पास ही हूँ।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_notify_gentle_checkin,Companion messages,SENSITIVE,Just a hello. Nothing needed.,बस एक नमस्ते। कुछ करना ज़रूरी नहीं।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,companion_notify_tools_nearby,Companion messages,SENSITIVE,Your quiet tools are right here if today needs them.,"आपके शांत टूल्स यहीं हैं, अगर आज ज़रूरत पड़े।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
