source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,nav_home,Navigation,STANDARD,Home,Accueil,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,Réfléchir,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,nav_calm,Navigation,STANDARD,Calm,Calme,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,nav_settings,Navigation,STANDARD,Settings,Réglages,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,Un endroit paisible où être.,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.","Quoi que cette journée réserve, tu peux rester ici un instant.",PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,Je traverse un moment difficile,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,Joindre une personne,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,back,Common,STANDARD,Back,Retour,PENDING,,,"AI draft (Claude, 2026-07-07) — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,Joindre une personne,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_intro,Crisis / safety screen,SENSITIVE,You deserve real support. These are calm ways to reach a person.,Tu mérites un vrai soutien. Voici des moyens apaisés de joindre une personne.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_region_label,Crisis / safety screen,SENSITIVE,Show help for,Afficher l'aide pour,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_region_pk,Crisis / safety screen,SENSITIVE,Pakistan,Pakistan,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_region_de,Crisis / safety screen,SENSITIVE,Germany,Allemagne,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_region_uk,Crisis / safety screen,SENSITIVE,United Kingdom,Royaume-Uni,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_region_intl,Crisis / safety screen,SENSITIVE,International,International,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_trusted_person,Crisis / safety screen,SENSITIVE,Reach your trusted person,Joindre ta personne de confiance,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_heading_acute,Crisis / safety screen,SENSITIVE,If you need someone right now,Si tu as besoin de quelqu'un maintenant,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_heading_support,Crisis / safety screen,SENSITIVE,Eating-disorder support,Soutien pour les troubles des conduites alimentaires,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_heading_finder,Crisis / safety screen,SENSITIVE,Find ongoing treatment,Trouver un traitement suivi,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_fallback_note,Crisis / safety screen,SENSITIVE,We don't have verified local services for this region yet. These trusted options can help you find support near you.,Nous n'avons pas encore de services locaux vérifiés pour cette région. Ces ressources fiables peuvent t'aider à trouver du soutien près de chez toi.,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,safety_unverified,Crisis / safety screen,SENSITIVE,Details are being verified,Les informations sont en cours de vérification,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
