source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,grounding_title,Grounding tools,SENSITIVE,A hard moment,एक कठिन पल,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_subtitle,Grounding tools,SENSITIVE,Here are a few quiet things that can help. There's no wrong choice.,ये कुछ शांत चीज़ें हैं जो मदद कर सकती हैं। कोई भी चुनाव ग़लत नहीं है।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_breathe,Grounding tools,SENSITIVE,Breathe,साँस लें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_54321,Grounding tools,SENSITIVE,Ground (5-4-3-2-1),इंद्रियों से जुड़ें (5-4-3-2-1),PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Digits 5-4-3-2-1 are the technique name — keep as digits; cross-check against the per-language forbidden-token lexicon once advisors supply it"
shared-ui,grounding_ride_urge,Grounding tools,SENSITIVE,Ride the urge,लहर को गुज़रने दें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Ride the urge' is the urge-surfing technique — draft uses a 'let it pass' wave metaphor rather than literal 'riding'; reviewer confirm it reads as the technique and matches ride_urge_body"
shared-ui,grounding_talk,Grounding tools,SENSITIVE,Write it down,लिख डालें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_reach_someone,Grounding tools,SENSITIVE,Reach someone,किसी से संपर्क करें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_close,Grounding tools,SENSITIVE,Close,बंद करें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_gentle_close,Grounding tools,SENSITIVE,Glad you took a moment.,अच्छा लगा कि आपने एक पल निकाला।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Polite आप forms used throughout; 'मैं अभी ठीक हूँ' is gender-neutral"
shared-ui,grounding_done,Grounding tools,SENSITIVE,I'm okay for now,मैं अभी ठीक हूँ,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Polite आप forms used throughout; 'मैं अभी ठीक हूँ' is gender-neutral"
shared-ui,breathe_title,Grounding tools,SENSITIVE,Let's breathe together,आइए साथ में साँस लें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,breathe_in,Grounding tools,SENSITIVE,Breathe in,साँस अंदर लें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync"
shared-ui,breathe_hold,Grounding tools,SENSITIVE,Hold,रोकें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — must be one short word matching the breathing animation timing"
shared-ui,breathe_out,Grounding tools,SENSITIVE,Breathe out,साँस बाहर छोड़ें,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync"
shared-ui,breathe_reduced_note,Grounding tools,SENSITIVE,Follow the words at your own pace.,शब्दों के साथ अपनी गति से चलें।,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_title,Grounding tools,SENSITIVE,Notice where you are,महसूस करें कि आप कहाँ हैं,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_intro,Grounding tools,SENSITIVE,"Slowly, gently, take each one in. There's no rush.","धीरे-धीरे, आराम से, हर एक को महसूस करें। कोई जल्दी नहीं है।",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Polite आप forms used throughout; 'मैं अभी ठीक हूँ' is gender-neutral"
shared-ui,ground_54321_see,Grounding tools,SENSITIVE,Five things you can see,पाँच चीज़ें जो आप देख सकते हैं,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_hear,Grounding tools,SENSITIVE,Four things you can hear,चार चीज़ें जो आप सुन सकते हैं,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_touch,Grounding tools,SENSITIVE,Three things you can touch,तीन चीज़ें जिन्हें आप छू सकते हैं,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,ground_54321_smell,Grounding tools,SENSITIVE,Two things you can smell,दो चीज़ें जिन्हें आप सूँघ सकते हैं,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
