source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,reflect_title,Reflection & logging,STANDARD,Your space,Ton espace,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_subtitle,Reflection & logging,STANDARD,A private place for your thoughts. Only you can see this.,Un endroit privé pour tes pensées. Personne d'autre que toi ne peut voir ceci.,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_empty,Reflection & logging,STANDARD,"Nothing here yet, and that's completely okay. This space is here whenever you'd like it.","Rien ici pour l'instant, et c'est tout à fait normal. Cet espace est là dès que tu en as envie.",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_new_reflection,Reflection & logging,STANDARD,Write something down,Écrire quelque chose,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_new_feeling_log,Reflection & logging,STANDARD,Note how you're feeling,Noter comment tu te sens,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_new_food_log,Reflection & logging,STANDARD,Note a moment around eating,Noter un moment autour du repas,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'a moment around eating' is deliberately NOT 'food diary/meal log' — keep the gentle indirection — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_section_reflections,Reflection & logging,STANDARD,Reflections,Réflexions,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_section_feelings,Reflection & logging,STANDARD,Feelings,Ressentis,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_section_food,Reflection & logging,STANDARD,Around eating,Autour du repas,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Anti-shame framing: 'Around eating', not 'Food log' — keep indirection — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_save,Reflection & logging,STANDARD,Save,Enregistrer,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_cancel,Reflection & logging,STANDARD,Cancel,Annuler,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_delete,Reflection & logging,STANDARD,Delete,Supprimer,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_text_hint,Reflection & logging,STANDARD,Whatever's on your mind…,Ce qui te passe par la tête…,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_note_hint,Reflection & logging,STANDARD,"A few words, if you'd like…","Quelques mots, si tu veux…",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,reflect_feelings_label,Reflection & logging,STANDARD,"If it helps, what are you feeling?","Si ça aide, qu'est-ce que tu ressens ?",PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,feeling_calm,Feeling tags,STANDARD,Calm,Calme,PENDING,,,"AI draft (Claude, 2026-07-07) — STANDARD: native review pass — Feeling tags rendered as nouns to stay gender-neutral; gendered forms (Connecté·e etc.) rephrased neutral — fr is NOT yet in TARGET_LANGS; config change required"
