source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,grounding_title,Grounding tools,SENSITIVE,A hard moment,Ein schwerer Moment,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_subtitle,Grounding tools,SENSITIVE,Here are a few quiet things that can help. There's no wrong choice.,"Hier sind ein paar stille Dinge, die helfen können. Es gibt keine falsche Wahl.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_breathe,Grounding tools,SENSITIVE,Breathe,Atmen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_54321,Grounding tools,SENSITIVE,Ground (5-4-3-2-1),Ankommen (5-4-3-2-1),PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Digits 5-4-3-2-1 are the technique name — keep as digits; cross-check against the per-language forbidden-token lexicon once advisors supply it"
shared-ui,grounding_ride_urge,Grounding tools,SENSITIVE,Ride the urge,Den Drang vorbeiziehen lassen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — 'Ride the urge' is the urge-surfing technique — draft uses a 'let it pass' wave metaphor rather than literal 'riding'; reviewer confirm it reads as the technique and matches ride_urge_body"
shared-ui,grounding_talk,Grounding tools,SENSITIVE,Write it down,Aufschreiben,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_reach_someone,Grounding tools,SENSITIVE,Reach someone,Jemanden erreichen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_close,Grounding tools,SENSITIVE,Close,Schließen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_gentle_close,Grounding tools,SENSITIVE,Glad you took a moment.,"Schön, dass du dir einen Moment genommen hast.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,grounding_done,Grounding tools,SENSITIVE,I'm okay for now,Mir geht es gerade okay,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,breathe_title,Grounding tools,SENSITIVE,Let's breathe together,Lass uns zusammen atmen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,breathe_in,Grounding tools,SENSITIVE,Breathe in,Einatmen,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Pacer word — keep short for animation sync"
