source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,app_name,Brand,DO_NOT_TRANSLATE,Aspen,,SKIP,,,
shared-ui,nav_home,Navigation,STANDARD,Home,Inicio,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_reflect,Navigation,STANDARD,Reflect,Reflexionar,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_calm,Navigation,STANDARD,Calm,Calma,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,nav_settings,Navigation,STANDARD,Settings,Ajustes,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_greeting,Home,STANDARD,A quiet place to be.,Un lugar tranquilo donde estar.,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_subtitle,Home,STANDARD,"Whatever today holds, you can be here for a moment.","Sea como sea el día de hoy, puedes quedarte aquí un momento.",APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_hard_moment,Home,STANDARD,I am having a hard moment,Estoy pasando un momento difícil,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,home_reach_person,Home,STANDARD,Reach a person,Contactar con una persona,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_title,Crisis / safety screen,SENSITIVE,Reaching a person,Llegar a una persona,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_body,Crisis / safety screen,SENSITIVE,"A calm route to real human support, a trusted contact or a region-correct line, will live here.",,PENDING,,,
shared-ui,back,Common,STANDARD,Back,Atrás,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07)"
shared-ui,safety_intro,Crisis / safety screen,SENSITIVE,You deserve real support. These are calm ways to reach a person.,Mereces apoyo de verdad. Estas son formas tranquilas de contactar con una persona.,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_label,Crisis / safety screen,SENSITIVE,Show help for,Mostrar ayuda para,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
shared-ui,safety_region_pk,Crisis / safety screen,SENSITIVE,Pakistan,Pakistán,APPROVED,DEBUG-ONLY-UNREVIEWED,2026-07-08,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED"
