source,key,surface,sensitivity,en_source,translation,status,reviewer,date,notes
shared-ui,onb_intro_title,Onboarding questionnaire,SENSITIVE,A few gentle questions,Quelques questions en douceur,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_intro_body,Onboarding questionnaire,SENSITIVE,"So Aspen can fit you a little better. There are no right answers, nothing here is a test or a diagnosis, and you can skip anything. Take your time.","Pour qu'Aspen s'ajuste un peu mieux à toi. Il n'y a pas de bonnes réponses, rien ici n'est un test ni un diagnostic, et tu peux tout passer. Prends ton temps.",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_begin,Onboarding questionnaire,SENSITIVE,Begin,Commencer,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_skip_all,Onboarding questionnaire,SENSITIVE,Skip these for now,Passer pour l'instant,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_skip_question,Onboarding questionnaire,SENSITIVE,Skip this one,Passer celle-ci,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_next,Onboarding questionnaire,SENSITIVE,Continue,Continuer,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_back,Onboarding questionnaire,SENSITIVE,Back,Retour,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_prefer_not,Onboarding questionnaire,SENSITIVE,I'd rather not say,Je préfère ne pas le dire,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_title,Onboarding questionnaire,SENSITIVE,What would feel most helpful from Aspen right now?,Qu'est-ce qui t'aiderait le plus de la part d'Aspen en ce moment ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_calmer,Onboarding questionnaire,SENSITIVE,A calmer moment in hard times,Un moment plus calme dans les périodes difficiles,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_private,Onboarding questionnaire,SENSITIVE,Somewhere private to put my thoughts,Un endroit privé où déposer mes pensées,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_company,Onboarding questionnaire,SENSITIVE,Company that doesn't ask much of me,Une compagnie qui ne me demande pas grand-chose,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_reach_help,Onboarding questionnaire,SENSITIVE,A way to reach real help,Un moyen d'accéder à une vraie aide,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q1_not_sure,Onboarding questionnaire,SENSITIVE,I'm not sure yet,Je ne sais pas encore,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_title,Onboarding questionnaire,SENSITIVE,How would you describe your relationship with eating lately?,Comment décrirais-tu ta relation à l'alimentation ces derniers temps ?,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_tense_rules,Onboarding questionnaire,SENSITIVE,"Tense, or full of rules","Tendue, ou pleine de règles",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_out_of_control,Onboarding questionnaire,SENSITIVE,Out of my control at times,Parfois hors de mon contrôle,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_undo_after,Onboarding questionnaire,SENSITIVE,Something I try to undo afterwards,Quelque chose que j'essaie d'effacer après coup,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — Same euphemism constraint as q5 — keep behaviours implicit — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_sensory_hard,Onboarding questionnaire,SENSITIVE,"Hard because of how foods feel, taste, or seem","Difficile à cause de la texture, du goût ou de l'apparence des aliments",PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
shared-ui,onb_q2_body_focused,Onboarding questionnaire,SENSITIVE,Mostly about how I feel in my body,Surtout liée à ce que je ressens dans mon corps,PENDING,,,"AI draft (Claude, 2026-07-07) — SENSITIVE: requires ED-informed native-speaker review before APPROVED — fr is NOT yet in TARGET_LANGS; config change required"
